Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-15.65599000,-4.07513700
-5.34106784,-15.65599000,-4.07513700
-5.33773384,-15.65599000,-4.07513700
-5.33439984,-15.65599000,-4.07513700
-5.33106584,-15.65599000,-4.07513700
-5.32773184,-11.06296000,-4.07513700
-5.32439784,-6.46992300,-4.07513700
-5.32106384,-6.46992300,-4.12091400
-5.31772984,-6.46992300,-4.07513700
-5.31439584,-1.87688800,-4.07513700
-5.31106184,2.71614700,-4.07513700
-5.30772784,7.30918300,-4.07513700
-5.30439384,7.30918300,-4.07513700
-5.30105984,7.30918300,-4.07513700
-5.29772584,7.30918300,-4.07513700
-5.29439184,11.90222000,-4.07513700
-5.29105784,7.30918300,-4.12091400
-5.28772384,7.30918300,-4.07513700
-5.28438984,2.71614700,-4.07513700
-5.28105584,2.71614700,-4.07513700
-5.27772184,7.30918300,-4.07513700
-5.27438784,2.71614700,-4.07513700
-5.27105384,-1.87688800,-4.07513700
-5.26771984,-11.06296000,-4.07513700
-5.26438584,-11.06296000,-4.07513700
-5.26105184,-11.06296000,-4.07513700
-5.25771784,-11.06296000,-4.07513700
-5.25438384,-15.65599000,-4.07513700
-5.25104984,-11.06296000,-4.07513700
-5.24771584,-11.06296000,-4.07513700
-5.24438184,-11.06296000,-4.07513700
-5.24104784,-11.06296000,-4.07513700
-5.23771384,-6.46992300,-4.07513700
-5.23437984,-6.46992300,-4.07513700
-5.23104584,-1.87688800,-4.07513700
-5.22771184,2.71614700,-4.12091400
-5.22437784,7.30918300,-4.12091400
-5.22104384,7.30918300,-4.07513700
-5.21770984,7.30918300,-4.07513700
-5.21437584,7.30918300,-4.07513700
-5.21104184,7.30918300,-4.12091400
-5.20770784,7.30918300,-4.07513700
-5.20437384,7.30918300,-4.12091400
-5.20103984,7.30918300,-4.12091400
-5.19770584,7.30918300,-4.07513700
-5.19437184,7.30918300,-4.07513700
-5.19103784,-1.87688800,-4.07513700
-5.18770384,-6.46992300,-4.07513700
-5.18436984,-11.06296000,-4.07513700
-5.18103584,-11.06296000,-4.12091400
-5.17770184,-11.06296000,-4.12091400
-5.17436784,-11.06296000,-4.07513700
-5.17103384,-15.65599000,-4.07513700
-5.16769984,-15.65599000,-4.07513700
-5.16436584,-15.65599000,-4.07513700
-5.16103184,-15.65599000,-4.07513700
-5.15769784,-15.65599000,-4.12091400
-5.15436384,-11.06296000,-4.07513700
-5.15102984,-6.46992300,-4.07513700
-5.14769584,-1.87688800,-4.07513700
-5.14436184,-1.87688800,-4.07513700
-5.14102784,-1.87688800,-4.07513700
-5.13769384,2.71614700,-4.07513700
-5.13435984,7.30918300,-4.07513700
-5.13102584,7.30918300,-4.12091400
-5.12769184,7.30918300,-4.12091400
