Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-20.24903000,-4.07513700
-5.34106784,-15.65599000,-4.07513700
-5.33773384,-11.06296000,-4.12091400
-5.33439984,-6.46992300,-4.07513700
-5.33106584,-1.87688800,-4.07513700
-5.32773184,-1.87688800,-4.07513700
-5.32439784,2.71614700,-4.07513700
-5.32106384,-1.87688800,-4.07513700
-5.31772984,-1.87688800,-4.07513700
-5.31439584,-1.87688800,-4.07513700
-5.31106184,-1.87688800,-4.07513700
-5.30772784,-6.46992300,-4.07513700
-5.30439384,-11.06296000,-4.07513700
-5.30105984,-15.65599000,-4.07513700
-5.29772584,-15.65599000,-4.12091400
-5.29439184,-20.24903000,-4.07513700
-5.29105784,-29.43510000,-4.07513700
-5.28772384,-29.43510000,-4.07513700
-5.28438984,-29.43510000,-4.12091400
-5.28105584,-38.62117000,-4.07513700
-5.27772184,-34.02814000,-4.07513700
-5.27438784,-38.62117000,-4.07513700
-5.27105384,-34.02814000,-4.07513700
-5.26771984,-34.02814000,-4.12091400
-5.26438584,-29.43510000,-4.07513700
-5.26105184,-24.84207000,-4.07513700
-5.25771784,-20.24903000,-4.07513700
-5.25438384,-15.65599000,-4.07513700
-5.25104984,-11.06296000,-4.07513700
-5.24771584,-11.06296000,-4.07513700
-5.24438184,-1.87688800,-4.07513700
-5.24104784,-1.87688800,-4.07513700
-5.23771384,2.71614700,-4.07513700
-5.23437984,2.71614700,-4.07513700
-5.23104584,7.30918300,-4.07513700
-5.22771184,7.30918300,-4.07513700
-5.22437784,2.71614700,-4.07513700
-5.22104384,-1.87688800,-4.07513700
-5.21770984,-6.46992300,-4.07513700
-5.21437584,-6.46992300,-4.07513700
-5.21104184,-11.06296000,-4.07513700
-5.20770784,-11.06296000,-4.07513700
-5.20437384,-15.65599000,-4.07513700
-5.20103984,-20.24903000,-4.07513700
-5.19770584,-24.84207000,-4.07513700
-5.19437184,-29.43510000,-4.07513700
-5.19103784,-29.43510000,-4.07513700
-5.18770384,-34.02814000,-4.07513700
-5.18436984,-29.43510000,-4.07513700
-5.18103584,-29.43510000,-4.07513700
-5.17770184,-29.43510000,-4.07513700
-5.17436784,-24.84207000,-4.07513700
-5.17103384,-20.24903000,-4.07513700
-5.16769984,-15.65599000,-4.07513700
-5.16436584,-11.06296000,-4.12091400
-5.16103184,-6.46992300,-4.07513700
-5.15769784,-1.87688800,-4.07513700
-5.15436384,2.71614700,-4.07513700
-5.15102984,7.30918300,-4.07513700
-5.14769584,7.30918300,-4.12091400
-5.14436184,7.30918300,-4.07513700
-5.14102784,7.30918300,-4.07513700
-5.13769384,7.30918300,-4.07513700
-5.13435984,7.30918300,-4.07513700
-5.13102584,7.30918300,-4.07513700
