Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-309.56450000,-4.07513700
-5.34106784,-314.15750000,-4.07513700
-5.33773384,-323.34360000,-4.12091400
-5.33439984,-327.93660000,-4.07513700
-5.33106584,-318.75050000,-4.07513700
-5.32773184,-314.15750000,-4.07513700
-5.32439784,-304.97140000,-4.07513700
-5.32106384,-304.97140000,-4.07513700
-5.31772984,-291.19230000,-4.07513700
-5.31439584,-277.42850000,-4.07513700
-5.31106184,-268.24240000,-4.12091400
-5.30772784,-259.05630000,-4.07513700
-5.30439384,-249.87030000,-4.07513700
-5.30105984,-236.09120000,-4.07513700
-5.29772584,-226.90510000,-4.12091400
-5.29439184,-222.31210000,-4.07513700
-5.29105784,-222.31210000,-4.07513700
-5.28772384,-222.31210000,-4.07513700
-5.28438984,-231.49810000,-4.07513700
-5.28105584,-231.49810000,-4.07513700
-5.27772184,-240.68420000,-4.07513700
-5.27438784,-249.87030000,-4.07513700
-5.27105384,-263.64940000,-4.07513700
-5.26771984,-277.42850000,-4.07513700
-5.26438584,-286.59930000,-4.07513700
-5.26105184,-295.78540000,-4.07513700
-5.25771784,-304.97140000,-4.07513700
-5.25438384,-318.75050000,-4.07513700
-5.25104984,-323.34360000,-4.07513700
-5.24771584,-323.34360000,-4.07513700
-5.24438184,-327.93660000,-4.07513700
-5.24104784,-327.93660000,-4.12091400
-5.23771384,-323.34360000,-4.07513700
-5.23437984,-314.15750000,-4.07513700
-5.23104584,-304.97140000,-4.07513700
-5.22771184,-295.78540000,-4.12091400
-5.22437784,-286.59930000,-4.12091400
-5.22104384,-272.83540000,-4.07513700
-5.21770984,-259.05630000,-4.07513700
-5.21437584,-249.87030000,-4.12091400
-5.21104184,-236.09120000,-4.07513700
-5.20770784,-236.09120000,-4.07513700
-5.20437384,-231.49810000,-4.07513700
-5.20103984,-226.90510000,-4.12091400
-5.19770584,-222.31210000,-4.07513700
-5.19437184,-226.90510000,-4.12091400
-5.19103784,-236.09120000,-4.07513700
-5.18770384,-249.87030000,-4.07513700
-5.18436984,-259.05630000,-4.12091400
-5.18103584,-263.64940000,-4.07513700
-5.17770184,-277.42850000,-4.07513700
-5.17436784,-286.59930000,-4.07513700
-5.17103384,-300.37840000,-4.12091400
-5.16769984,-309.56450000,-4.07513700
-5.16436584,-318.75050000,-4.07513700
-5.16103184,-323.34360000,-4.07513700
-5.15769784,-332.52960000,-4.07513700
-5.15436384,-337.12270000,-4.07513700
-5.15102984,-332.52960000,-4.07513700
-5.14769584,-323.34360000,-4.12091400
-5.14436184,-323.34360000,-4.07513700
-5.14102784,-314.15750000,-4.07513700
-5.13769384,-304.97140000,-4.07513700
-5.13435984,-291.19230000,-4.07513700
