Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-84.53626000,-4.07513700
-5.34106784,-84.53626000,-4.07513700
-5.33773384,-89.12930000,-4.07513700
-5.33439984,-98.31538000,-4.07513700
-5.33106584,-107.50140000,-4.07513700
-5.32773184,-112.09450000,-4.07513700
-5.32439784,-130.46660000,-4.07513700
-5.32106384,-139.65270000,-4.07513700
-5.31772984,-158.02480000,-4.07513700
-5.31439584,-167.21090000,-4.12091400
-5.31106184,-176.39700000,-4.07513700
-5.30772784,-190.16080000,-4.07513700
-5.30439384,-194.75390000,-4.07513700
-5.30105984,-194.75390000,-4.07513700
-5.29772584,-194.75390000,-4.07513700
-5.29439184,-185.56780000,-4.07513700
-5.29105784,-185.56780000,-4.07513700
-5.28772384,-176.39700000,-4.12091400
-5.28438984,-167.21090000,-4.07513700
-5.28105584,-148.83880000,-4.07513700
-5.27772184,-139.65270000,-4.07513700
-5.27438784,-125.87360000,-4.12091400
-5.27105384,-112.09450000,-4.07513700
-5.26771984,-102.90840000,-4.07513700
-5.26438584,-84.53626000,-4.12091400
-5.26105184,-75.36546000,-4.07513700
-5.25771784,-75.36546000,-4.12091400
-5.25438384,-75.36546000,-4.07513700
-5.25104984,-75.36546000,-4.12091400
-5.24771584,-75.36546000,-4.07513700
-5.24438184,-79.95850000,-4.07513700
-5.24104784,-84.53626000,-4.07513700
-5.23771384,-98.31538000,-4.12091400
-5.23437984,-112.09450000,-4.07513700
-5.23104584,-121.28050000,-4.12091400
-5.22771184,-135.05970000,-4.12091400
-5.22437784,-153.43180000,-4.07513700
-5.22104384,-162.61790000,-4.07513700
-5.21770984,-167.21090000,-4.07513700
-5.21437584,-176.39700000,-4.07513700
-5.21104184,-180.97480000,-4.07513700
-5.20770784,-185.56780000,-4.12091400
-5.20437384,-185.56780000,-4.12091400
-5.20103984,-176.39700000,-4.07513700
-5.19770584,-162.61790000,-4.07513700
-5.19437184,-158.02480000,-4.07513700
-5.19103784,-144.24570000,-4.07513700
-5.18770384,-135.05970000,-4.12091400
-5.18436984,-121.28050000,-4.07513700
-5.18103584,-102.90840000,-4.07513700
-5.17770184,-89.12930000,-4.07513700
-5.17436784,-79.95850000,-4.12091400
-5.17103384,-70.77242000,-4.12091400
-5.16769984,-61.58635000,-4.07513700
-5.16436584,-61.58635000,-4.07513700
-5.16103184,-56.99331000,-4.07513700
-5.15769784,-61.58635000,-4.07513700
-5.15436384,-66.17938000,-4.07513700
-5.15102984,-79.95850000,-4.07513700
-5.14769584,-84.53626000,-4.07513700
-5.14436184,-102.90840000,-4.07513700
-5.14102784,-116.68750000,-4.07513700
-5.13769384,-125.87360000,-4.12091400
-5.13435984,-139.65270000,-4.07513700
