Time,Channel A,Channel B
(s),(mV),(V)

-5.34374809,328.74540000,-3.38984300
-5.34041409,324.15230000,-3.43562100
-5.33708009,324.15230000,-3.43562100
-5.33374609,319.55930000,-3.43562100
-5.33041209,324.15230000,-3.43562100
-5.32707809,324.15230000,-3.43562100
-5.32374409,324.15230000,-3.43562100
-5.32041009,319.55930000,-3.43562100
-5.31707609,319.55930000,-3.38984300
-5.31374209,319.55930000,-3.38984300
-5.31040809,324.15230000,-3.43562100
-5.30707409,328.74540000,-3.43562100
-5.30374009,328.74540000,-3.43562100
-5.30040609,328.74540000,-3.43562100
-5.29707209,328.74540000,-3.43562100
-5.29373809,333.33840000,-3.38984300
-5.29040409,337.93140000,-3.38984300
-5.28707009,337.93140000,-3.43562100
-5.28373609,337.93140000,-3.43562100
-5.28040209,342.52450000,-3.43562100
-5.27706809,342.52450000,-3.43562100
-5.27373409,347.11750000,-3.43562100
-5.27040009,342.52450000,-3.43562100
-5.26706609,342.52450000,-3.43562100
-5.26373209,342.52450000,-3.43562100
-5.26039809,342.52450000,-3.38984300
-5.25706409,342.52450000,-3.43562100
-5.25373009,337.93140000,-3.43562100
-5.25039609,337.93140000,-3.43562100
-5.24706209,337.93140000,-3.43562100
-5.24372809,337.93140000,-3.43562100
-5.24039409,333.33840000,-3.43562100
-5.23706009,333.33840000,-3.43562100
-5.23372609,333.33840000,-3.43562100
-5.23039209,328.74540000,-3.43562100
-5.22705809,333.33840000,-3.43562100
-5.22372409,333.33840000,-3.43562100
-5.22039009,333.33840000,-3.43562100
-5.21705609,333.33840000,-3.38984300
-5.21372209,337.93140000,-3.43562100
-5.21038809,337.93140000,-3.43562100
-5.20705409,337.93140000,-3.43562100
-5.20372009,342.52450000,-3.43562100
-5.20038609,337.93140000,-3.43562100
-5.19705209,347.11750000,-3.43562100
-5.19371809,347.11750000,-3.43562100
-5.19038409,347.11750000,-3.43562100
-5.18705009,347.11750000,-3.43562100
-5.18371609,347.11750000,-3.43562100
-5.18038209,347.11750000,-3.43562100
-5.17704809,347.11750000,-3.43562100
-5.17371409,347.11750000,-3.43562100
-5.17038009,347.11750000,-3.43562100
-5.16704609,337.93140000,-3.43562100
-5.16371209,337.93140000,-3.43562100
-5.16037809,337.93140000,-3.43562100
-5.15704409,333.33840000,-3.43562100
-5.15371009,328.74540000,-3.43562100
-5.15037609,328.74540000,-3.43562100
-5.14704209,328.74540000,-3.43562100
-5.14370809,328.74540000,-3.43562100
-5.14037409,324.15230000,-3.43562100
-5.13704009,324.15230000,-3.43562100
-5.13370609,324.15230000,-3.43562100
-5.13037209,319.55930000,-3.43562100
-5.12703809,319.55930000,-3.43562100
-5.12370409,324.15230000,-3.43562100
-5.12037009,328.74540000,-3.43562100
