Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-38.62117000,-4.07513700
-5.34106784,-38.62117000,-4.07513700
-5.33773384,-38.62117000,-4.07513700
-5.33439984,-38.62117000,-4.07513700
-5.33106584,-34.02814000,-4.07513700
-5.32773184,-34.02814000,-4.07513700
-5.32439784,-34.02814000,-4.07513700
-5.32106384,-38.62117000,-4.07513700
-5.31772984,-38.62117000,-4.07513700
-5.31439584,-43.21421000,-4.07513700
-5.31106184,-43.21421000,-4.07513700
-5.30772784,-47.80724000,-4.07513700
-5.30439384,-47.80724000,-4.07513700
-5.30105984,-47.80724000,-4.07513700
-5.29772584,-47.80724000,-4.07513700
-5.29439184,-47.80724000,-4.07513700
-5.29105784,-52.40028000,-4.07513700
-5.28772384,-56.99331000,-4.07513700
-5.28438984,-52.40028000,-4.12091400
-5.28105584,-52.40028000,-4.07513700
-5.27772184,-47.80724000,-4.07513700
-5.27438784,-47.80724000,-4.07513700
-5.27105384,-47.80724000,-4.07513700
-5.26771984,-47.80724000,-4.07513700
-5.26438584,-47.80724000,-4.07513700
-5.26105184,-43.21421000,-4.07513700
-5.25771784,-43.21421000,-4.07513700
-5.25438384,-38.62117000,-4.12091400
-5.25104984,-38.62117000,-4.12091400
-5.24771584,-34.02814000,-4.07513700
-5.24438184,-34.02814000,-4.07513700
-5.24104784,-29.43510000,-4.07513700
-5.23771384,-29.43510000,-4.12091400
-5.23437984,-29.43510000,-4.07513700
-5.23104584,-29.43510000,-4.07513700
-5.22771184,-29.43510000,-4.07513700
-5.22437784,-29.43510000,-4.07513700
-5.22104384,-29.43510000,-4.07513700
-5.21770984,-34.02814000,-4.07513700
-5.21437584,-29.43510000,-4.07513700
-5.21104184,-34.02814000,-4.12091400
-5.20770784,-38.62117000,-4.07513700
-5.20437384,-38.62117000,-4.07513700
-5.20103984,-38.62117000,-4.07513700
-5.19770584,-38.62117000,-4.07513700
-5.19437184,-43.21421000,-4.07513700
-5.19103784,-47.80724000,-4.07513700
-5.18770384,-47.80724000,-4.07513700
-5.18436984,-47.80724000,-4.07513700
-5.18103584,-47.80724000,-4.07513700
-5.17770184,-43.21421000,-4.07513700
-5.17436784,-38.62117000,-4.07513700
-5.17103384,-38.62117000,-4.07513700
-5.16769984,-38.62117000,-4.12091400
-5.16436584,-38.62117000,-4.07513700
-5.16103184,-34.02814000,-4.07513700
-5.15769784,-34.02814000,-4.12091400
-5.15436384,-34.02814000,-4.07513700
-5.15102984,-29.43510000,-4.07513700
-5.14769584,-24.84207000,-4.12091400
-5.14436184,-24.84207000,-4.07513700
-5.14102784,-24.84207000,-4.07513700
-5.13769384,-24.84207000,-4.07513700
-5.13435984,-24.84207000,-4.07513700
