Time,Channel A,Channel B
-5.34440184,-346.30880000,-4.07513700
-5.34106784,-332.52960000,-4.07513700
-5.33773384,-314.15750000,-4.07513700
-5.33439984,-295.78540000,-4.12091400
-5.33106584,-277.42850000,-4.12091400
-5.32773184,-268.24240000,-4.07513700
-5.32439784,-249.87030000,-4.07513700
-5.32106384,-236.09120000,-4.07513700
-5.31772984,-231.49810000,-4.12091400
-5.31439584,-226.90510000,-4.12091400
-5.31106184,-217.71900000,-4.07513700
-5.30772784,-222.31210000,-4.07513700
-5.30439384,-222.31210000,-4.07513700
-5.30105984,-236.09120000,-4.07513700
-5.29772584,-249.87030000,-4.07513700
-5.29439184,-259.05630000,-4.07513700
-5.29105784,-272.83540000,-4.07513700
-5.28772384,-286.59930000,-4.07513700
-5.28438984,-304.97140000,-4.07513700
-5.28105584,-314.15750000,-4.07513700
-5.27772184,-327.93660000,-4.07513700
-5.27438784,-341.71570000,-4.07513700
-5.27105384,-355.49480000,-4.07513700
-5.26771984,-360.08790000,-4.07513700
-5.26438584,-360.08790000,-4.07513700
-5.26105184,-350.90180000,-4.07513700
-5.25771784,-341.71570000,-4.07513700
-5.25438384,-332.52960000,-4.07513700
-5.25104984,-327.93660000,-4.07513700
-5.24771584,-314.15750000,-4.07513700
-5.24438184,-295.78540000,-4.07513700
-5.24104784,-282.00630000,-4.07513700
-5.23771384,-263.64940000,-4.07513700
-5.23437984,-249.87030000,-4.07513700
-5.23104584,-231.49810000,-4.07513700
-5.22771184,-222.31210000,-4.07513700
-5.22437784,-213.12600000,-4.07513700
-5.22104384,-217.71900000,-4.07513700
-5.21770984,-217.71900000,-4.07513700
-5.21437584,-217.71900000,-4.07513700
-5.21104184,-217.71900000,-4.07513700
-5.20770784,-226.90510000,-4.07513700
-5.20437384,-240.68420000,-4.07513700
-5.20103984,-259.05630000,-4.07513700
-5.19770584,-272.83540000,-4.07513700
-5.19437184,-286.59930000,-4.07513700
-5.19103784,-304.97140000,-4.07513700
-5.18770384,-318.75050000,-4.07513700
-5.18436984,-327.93660000,-4.07513700
-5.18103584,-332.52960000,-4.12091400
-5.17770184,-337.12270000,-4.07513700
-5.17436784,-341.71570000,-4.07513700
-5.17103384,-341.71570000,-4.07513700
-5.16769984,-332.52960000,-4.12091400
-5.16436584,-327.93660000,-4.12091400
-5.16103184,-314.15750000,-4.07513700
-5.15769784,-295.78540000,-4.07513700
-5.15436384,-277.42850000,-4.07513700
-5.15102984,-263.64940000,-4.07513700
-5.14769584,-249.87030000,-4.07513700
-5.14436184,-231.49810000,-4.07513700
-5.14102784,-222.31210000,-4.07513700
-5.13769384,-213.12600000,-4.07513700
-5.13435984,-199.34690000,-4.07513700
-5.13102584,-190.16080000,-4.07513700
-5.12769184,-185.56780000,-4.07513700
-5.12435784,-190.16080000,-4.12091400
-5.12102384,-199.34690000,-4.07513700
-5.11768984,-208.53300000,-4.12091400
-5.11435584,-217.71900000,-4.07513700
-5.11102184,-231.49810000,-4.07513700
-5.10768784,-240.68420000,-4.07513700
-5.10435384,-259.05630000,-4.07513700
-5.10101984,-268.24240000,-4.07513700
-5.09768584,-286.59930000,-4.07513700
-5.09435184,-300.37840000,-4.07513700
-5.09101784,-309.56450000,-4.07513700
-5.08768384,-318.75050000,-4.07513700
-5.08434984,-323.34360000,-4.07513700
-5.08101584,-314.15750000,-4.07513700
-5.07768184,-304.97140000,-4.07513700
-5.07434784,-300.37840000,-4.07513700
-5.07101384,-291.19230000,-4.07513700
-5.06767984,-286.59930000,-4.12091400
-5.06434584,-268.24240000,-4.07513700
-5.06101184,-249.87030000,-4.12091400
-5.05767784,-231.49810000,-4.12091400
-5.05434384,-217.71900000,-4.07513700
-5.05100984,-199.34690000,-4.07513700
-5.04767584,-185.56780000,-4.07513700
-5.04434184,-176.39700000,-4.07513700
-5.04100784,-176.39700000,-4.07513700
-5.03767384,-176.39700000,-4.07513700
-5.03433984,-176.39700000,-4.07513700
-5.03100584,-171.80390000,-4.12091400
-5.02767184,-180.97480000,-4.07513700
-5.02433784,-190.16080000,-4.07513700
-5.02100384,-208.53300000,-4.12091400
-5.01766984,-222.31210000,-4.07513700
-5.01433584,-240.68420000,-4.07513700
-5.01100184,-259.05630000,-4.07513700
-5.00766784,-268.24240000,-4.07513700
-5.00433384,-277.42850000,-4.07513700
-5.00099984,-286.59930000,-4.07513700
-4.99766584,-295.78540000,-4.07513700
-4.99433184,-300.37840000,-4.07513700
